course_id,prof_id,score,rank,ethnicity,gender,age,cls_perc_eval,cls_did_eval,cls_students,cls_level,cls_profs,bty_avg,pic_outfit,pic_color
45,9,4.4,tenure track,not minority,female,33,25.0,11,44,upper,multiple,4.667,not formal,color
46,9,4.7,tenure track,not minority,female,33,59.18367,29,49,upper,single,4.667,not formal,color
47,9,4.4,tenure track,not minority,female,33,86.20689,25,29,upper,single,4.667,not formal,color
48,9,4.7,tenure track,not minority,female,33,87.5,42,48,upper,multiple,4.667,not formal,color
49,9,4.5,tenure track,not minority,female,33,85.0,34,40,upper,multiple,4.667,not formal,color
50,10,4.0,teaching,not minority,male,47,84.21053,16,19,upper,single,5.5,not formal,color
51,10,4.3,teaching,not minority,male,47,75.0,12,16,upper,multiple,5.5,not formal,color
52,10,4.4,teaching,not minority,male,47,93.33334,14,15,upper,single,5.5,not formal,color
53,10,4.5,teaching,not minority,male,47,95.65218,22,23,upper,single,5.5,not formal,color
54,10,5.0,teaching,not minority,male,47,90.90909,10,11,lower,multiple,5.5,not formal,color
55,10,4.9,teaching,not minority,male,47,58.62069,17,29,lower,multiple,5.5,not formal,color
56,10,4.6,teaching,not minority,male,47,76.19048,16,21,upper,multiple,5.5,not formal,color
57,10,5.0,teaching,not minority,male,47,83.33334,15,18,lower,multiple,5.5,not formal,color
58,10,4.7,teaching,not minority,male,47,84.21053,16,19,upper,single,5.5,not formal,color
59,10,5.0,teaching,not minority,male,47,80.0,16,20,lower,multiple,5.5,not formal,color
60,11,3.6,tenure track,minority,male,35,72.0,18,25,upper,single,4.833,not formal,color
61,11,3.7,tenure track,minority,male,35,90.90909,30,33,upper,single,4.833,not formal,color
62,11,4.3,tenure track,minority,male,35,95.83334,23,24,upper,single,4.833,not formal,color
63,12,4.1,teaching,not minority,male,37,88.23529,30,34,upper,multiple,4.333,not formal,color
64,12,4.2,teaching,not minority,male,37,61.90476,13,21,upper,single,4.333,not formal,color
65,12,4.7,teaching,not minority,male,37,80.0,24,30,upper,multiple,4.333,not formal,color
66,12,4.7,teaching,not minority,male,37,96.0,24,25,upper,multiple,4.333,not formal,color
67,12,3.5,teaching,not minority,male,37,71.42857,25,35,upper,multiple,4.333,not formal,color
68,13,4.1,tenured,not minority,male,42,70.0,28,40,upper,multiple,4.833,not formal,color
69,13,4.2,tenured,not minority,male,42,60.0,18,30,upper,multiple,4.833,not formal,color
70,13,4.0,tenured,not minority,male,42,66.66666,28,42,upper,multiple,4.833,not formal,color
71,13,4.0,tenured,not minority,male,42,43.85965,25,57,upper,single,4.833,not formal,color
72,13,3.9,tenured,not minority,male,42,70.17544,40,57,upper,single,4.833,not formal,color
73,13,4.4,tenured,not minority,male,42,78.43137,40,51,upper,single,4.833,not formal,color
74,13,3.8,tenured,not minority,male,42,60.0,18,30,upper,multiple,4.833,not formal,color
75,14,3.5,tenured,not minority,male,49,83.33334,30,36,upper,multiple,4.0,not formal,color
76,14,4.2,tenured,not minority,male,49,83.78378,31,37,upper,single,4.0,not formal,color
77,14,3.5,tenured,not minority,male,49,51.72414,15,29,upper,multiple,4.0,not formal,color
78,14,3.6,tenured,not minority,male,49,85.18519,23,27,upper,single,4.0,not formal,color
79,15,2.9,tenure track,not minority,female,37,82.14286,23,28,upper,single,5.5,not formal,color
80,15,3.3,tenure track,not minority,female,37,65.38461,34,52,upper,multiple,5.5,not formal,color
81,15,3.3,tenure track,not minority,female,37,80.76923,21,26,upper,single,5.5,not formal,color
82,15,3.2,tenure track,not minority,female,37,96.66666,29,30,upper,single,5.5,not formal,color
83,16,4.6,tenured,not minority,male,45,69.69697,23,33,upper,single,4.167,not formal,color
84,16,4.2,tenured,not minority,male,45,25.42373,45,177,lower,single,4.167,not formal,color
85,16,4.3,tenured,not minority,male,45,45.22613,90,199,lower,single,4.167,not formal,color
86,16,4.4,tenured,not minority,male,45,84.375,27,32,upper,single,4.167,not formal,color
87,16,4.1,tenured,not minority,male,45,94.5946,35,37,upper,single,4.167,not formal,color
88,16,4.6,tenured,not minority,male,45,74.53416,120,161,lower,single,4.167,not formal,color
89,17,4.4,teaching,not minority,female,56,65.85366,27,41,upper,single,2.5,not formal,color
90,17,4.8,teaching,not minority,female,56,88.63636,39,44,upper,single,2.5,not formal,color
91,17,4.3,teaching,not minority,female,56,66.03773,35,53,upper,multiple,2.5,not formal,color
92,17,3.6,teaching,not minority,female,56,69.38776,34,49,upper,multiple,2.5,not formal,color
93,17,4.3,teaching,not minority,female,56,84.375,27,32,upper,single,2.5,not formal,color
94,18,4.0,teaching,not minority,male,48,74.07407,100,135,lower,multiple,4.333,not formal,color
95,18,4.2,teaching,not minority,male,48,60.60606,20,33,upper,multiple,4.333,not formal,color
96,18,4.1,teaching,not minority,male,48,73.68421,14,19,upper,multiple,4.333,not formal,color
97,18,4.1,teaching,not minority,male,48,58.55856,65,111,lower,multiple,4.333,not formal,color
98,18,4.4,teaching,not minority,male,48,63.75839,95,149,lower,multiple,4.333,not formal,color
99,18,4.3,teaching,not minority,male,48,66.66666,18,27,upper,multiple,4.333,not formal,color
100,18,4.4,teaching,not minority,male,48,62.5,85,136,lower,multiple,4.333,not formal,color
101,18,4.4,teaching,not minority,male,48,80.71429,113,140,lower,multiple,4.333,not formal,color
102,19,4.9,tenured,not minority,female,46,80.64516,25,31,upper,multiple,4.333,not formal,black&white
103,19,5.0,tenured,not minority,female,46,93.33334,14,15,lower,multiple,4.333,not formal,black&white
104,19,4.4,tenured,not minority,female,46,79.31035,23,29,upper,multiple,4.333,not formal,black&white
105,19,4.8,tenured,not minority,female,46,92.0,23,25,upper,multiple,4.333,not formal,black&white
106,19,4.9,tenured,not minority,female,46,50.0,9,18,upper,multiple,4.333,not formal,black&white
107,19,4.3,tenured,not minority,female,46,66.66666,30,45,upper,multiple,4.333,not formal,black&white
108,19,5.0,tenured,not minority,female,46,100.0,15,15,lower,multiple,4.333,not formal,black&white
109,19,4.7,tenured,not minority,female,46,81.57895,31,38,upper,multiple,4.333,not formal,black&white
110,19,4.5,tenured,not minority,female,46,80.0,12,15,lower,multiple,4.333,not formal,black&white
111,20,3.5,teaching,not minority,female,57,60.71429,17,28,upper,multiple,4.333,not formal,color
112,20,3.9,teaching,not minority,female,57,43.47826,10,23,upper,multiple,4.333,not formal,color
113,20,4.0,teaching,not minority,female,57,78.94736,15,19,upper,multiple,4.333,not formal,color
114,20,4.0,teaching,not minority,female,57,30.43478,7,23,upper,multiple,4.333,not formal,color
115,20,3.7,teaching,not minority,female,57,31.81818,7,22,upper,multiple,4.333,not formal,color
116,20,3.4,teaching,not minority,female,57,70.0,14,20,upper,multiple,4.333,not formal,color
117,20,3.3,teaching,not minority,female,57,42.10526,8,19,upper,multiple,4.333,not formal,color
118,20,3.8,teaching,not minority,female,57,73.91304,17,23,upper,multiple,4.333,not formal,color
119,20,3.9,teaching,not minority,female,57,45.45454,10,22,upper,multiple,4.333,not formal,color
120,20,3.4,teaching,not minority,female,57,80.0,12,15,upper,multiple,4.333,not formal,color
121,21,3.7,teaching,not minority,female,52,86.36364,19,22,upper,single,4.833,not formal,color
122,21,4.1,teaching,not minority,female,52,87.09677,27,31,upper,multiple,4.833,not formal,color
123,21,3.7,teaching,not minority,female,52,95.2381,20,21,upper,multiple,4.833,not formal,color
124,21,3.5,teaching,not minority,female,52,86.11111,31,36,upper,multiple,4.833,not formal,color
125,21,3.5,teaching,not minority,female,52,89.47369,17,19,upper,multiple,4.833,not formal,color
126,21,4.4,teaching,not minority,female,52,62.16216,23,37,upper,single,4.833,not formal,color
127,22,3.4,tenure track,minority,female,29,73.07692,19,26,upper,single,2.833,not formal,color
128,23,4.3,tenured,not minority,male,62,76.92308,30,39,upper,single,3.0,not formal,color
129,23,3.7,tenured,not minority,male,62,51.08696,94,184,lower,single,3.0,not formal,color
130,23,4.7,tenured,not minority,male,62,92.0,46,50,upper,single,3.0,not formal,color
131,23,3.9,tenured,not minority,male,62,50.95541,80,157,lower,single,3.0,not formal,color
132,23,3.6,tenured,not minority,male,62,37.19512,61,164,lower,single,3.0,not formal,color
133,24,4.5,tenured,not minority,male,64,62.5,15,24,upper,multiple,4.167,not formal,color
134,24,4.5,tenured,not minority,male,64,75.0,51,68,upper,multiple,4.167,not formal,color
135,24,4.8,tenured,not minority,male,64,46.80851,22,47,upper,multiple,4.167,not formal,color
136,24,4.8,tenured,not minority,male,64,71.42857,10,14,upper,multiple,4.167,not formal,color
137,24,4.7,tenured,not minority,male,64,73.33334,11,15,upper,multiple,4.167,not formal,color
138,24,4.5,tenured,not minority,male,64,62.5,15,24,upper,multiple,4.167,not formal,color
139,24,4.3,tenured,not minority,male,64,53.84615,21,39,upper,multiple,4.167,not formal,color
140,25,4.8,tenure track,not minority,female,34,76.92308,20,26,upper,multiple,7.833,not formal,color
141,25,4.1,tenure track,not minority,female,34,82.5,33,40,upper,multiple,7.833,not formal,color
142,26,4.4,tenured,not minority,male,58,52.83019,84,159,upper,single,3.833,not formal,color
143,26,4.3,tenured,not minority,male,58,47.01987,71,151,upper,single,3.833,not formal,color
144,26,3.6,tenured,not minority,male,58,76.59574,36,47,lower,single,3.833,not formal,color
145,26,4.5,tenured,not minority,male,58,59.83607,73,122,upper,single,3.833,not formal,color
146,26,4.3,tenured,not minority,male,58,68.88889,31,45,lower,single,3.833,not formal,color
147,27,4.4,tenured,minority,male,52,81.25,13,16,upper,single,4.833,formal,color
148,27,4.7,tenured,minority,male,52,100.0,23,23,upper,single,4.833,formal,color
149,27,4.8,tenured,minority,male,52,75.0,12,16,upper,single,4.833,formal,color
150,27,3.5,tenured,minority,male,52,83.33334,15,18,upper,single,4.833,formal,color
151,27,3.8,tenured,minority,male,52,68.75,11,16,upper,single,4.833,formal,color
152,27,3.6,tenured,minority,male,52,80.0,12,15,upper,single,4.833,formal,color
153,27,4.2,tenured,minority,male,52,64.28571,18,28,upper,multiple,4.833,formal,color
154,28,3.6,tenured,not minority,male,73,70.58823,12,17,upper,single,3.0,formal,color
155,28,4.4,tenured,not minority,male,73,76.92308,10,13,upper,single,3.0,formal,color
156,28,3.7,tenured,not minority,male,73,76.19048,16,21,upper,multiple,3.0,formal,color
157,28,4.3,tenured,not minority,male,73,76.47059,13,17,upper,single,3.0,formal,color
158,29,4.6,tenured,not minority,male,70,35.07463,47,134,upper,single,3.0,formal,color
159,29,4.6,tenured,not minority,male,70,10.41667,5,48,upper,single,3.0,formal,color
160,29,4.1,tenured,not minority,male,70,53.125,34,64,upper,single,3.0,formal,color
161,29,3.6,tenured,not minority,male,70,34.78261,24,69,upper,single,3.0,formal,color
162,30,2.3,tenure track,not minority,female,41,83.33334,10,12,upper,single,5.167,not formal,color
163,31,4.3,teaching,not minority,male,63,65.11628,28,43,upper,single,4.333,not formal,color
164,31,4.4,teaching,not minority,male,63,78.57143,11,14,upper,multiple,4.333,not formal,color
165,31,3.6,teaching,not minority,male,63,66.66666,10,15,upper,single,4.333,not formal,color
166,31,4.4,teaching,not minority,male,63,77.77778,14,18,upper,multiple,4.333,not formal,color
167,31,3.9,teaching,not minority,male,63,75.0,12,16,upper,multiple,4.333,not formal,color
168,31,3.8,teaching,not minority,male,63,80.0,8,10,upper,multiple,4.333,not formal,color
169,31,3.4,teaching,not minority,male,63,48.93617,23,47,upper,multiple,4.333,not formal,color
170,32,4.9,tenured,not minority,male,47,66.66666,10,15,upper,multiple,2.667,not formal,color
171,32,4.1,tenured,not minority,male,47,71.42857,10,14,upper,multiple,2.667,not formal,color
172,32,3.2,tenured,not minority,male,47,83.33334,10,12,upper,single,2.667,not formal,color
173,33,4.2,tenured,not minority,male,39,34.95935,86,246,lower,multiple,5.5,not formal,color
174,33,3.9,tenured,not minority,male,39,48.73418,154,316,lower,multiple,5.5,not formal,color
175,33,4.9,tenured,not minority,male,39,80.0,12,15,upper,multiple,5.5,not formal,color
176,33,4.7,tenured,not minority,male,39,93.33334,14,15,upper,multiple,5.5,not formal,color
177,33,4.4,tenured,not minority,male,39,93.10345,27,29,upper,single,5.5,not formal,color
178,34,4.2,tenure track,minority,female,47,100.0,21,21,lower,single,4.333,not formal,color
179,34,4.0,tenure track,minority,female,47,100.0,8,8,upper,multiple,4.333,not formal,color
180,34,4.4,tenure track,minority,female,47,100.0,16,16,lower,single,4.333,not formal,color
181,34,3.9,tenure track,minority,female,47,92.30769,24,26,lower,single,4.333,not formal,color
182,34,4.4,tenure track,minority,female,47,70.0,7,10,upper,multiple,4.333,not formal,color
183,34,3.0,tenure track,minority,female,47,96.15385,25,26,lower,single,4.333,not formal,color
184,34,3.5,tenure track,minority,female,47,92.30769,24,26,lower,single,4.333,not formal,color
185,34,2.8,tenure track,minority,female,47,92.30769,24,26,lower,single,4.333,not formal,color
186,34,4.6,tenure track,minority,female,47,95.2381,20,21,lower,single,4.333,not formal,color
187,34,4.3,tenure track,minority,female,47,100.0,12,12,lower,single,4.333,not formal,color
188,34,3.4,tenure track,minority,female,47,92.59259,25,27,lower,single,4.333,not formal,color
189,34,3.0,tenure track,minority,female,47,96.2963,26,27,lower,single,4.333,not formal,color
190,34,4.2,tenure track,minority,female,47,96.0,24,25,lower,single,4.333,not formal,color
191,35,4.3,tenured,not minority,male,54,100.0,15,15,upper,single,2.333,formal,color
192,35,4.1,tenured,not minority,male,54,66.66666,10,15,upper,single,2.333,formal,color
193,35,4.6,tenured,not minority,male,54,94.11765,16,17,upper,single,2.333,formal,color
194,36,3.9,tenured,minority,female,44,54.54546,30,55,upper,multiple,6.5,not formal,color
195,36,3.5,tenured,minority,female,44,72.91666,35,48,upper,single,6.5,not formal,color
196,36,4.0,tenured,minority,female,44,100.0,21,21,upper,multiple,6.5,not formal,color
197,36,4.0,tenured,minority,female,44,89.74359,35,39,upper,multiple,6.5,not formal,color
198,37,3.9,tenured,minority,male,47,74.07407,20,27,upper,single,2.333,not formal,color
199,37,3.3,tenured,minority,male,47,64.28571,9,14,upper,single,2.333,not formal,color
200,37,4.0,tenured,minority,male,47,80.76923,21,26,upper,single,2.333,not formal,color
201,37,3.8,tenured,minority,male,47,81.25,13,16,upper,multiple,2.333,not formal,color
202,37,4.2,tenured,minority,male,47,81.25,13,16,upper,multiple,2.333,not formal,color
203,37,4.0,tenured,minority,male,47,92.30769,12,13,upper,multiple,2.333,not formal,color
204,37,3.8,tenured,minority,male,47,100.0,14,14,upper,single,2.333,not formal,color
205,37,3.3,tenured,minority,male,47,88.23529,15,17,upper,multiple,2.333,not formal,color
206,23,4.1,tenured,not minority,male,62,92.30769,12,13,upper,multiple,3.0,formal,color
207,23,4.7,tenured,not minority,male,62,86.66666,13,15,upper,single,3.0,formal,color
208,23,4.4,tenured,not minority,male,62,70.0,7,10,upper,multiple,3.0,formal,color
209,38,4.8,tenured,not minority,male,60,73.52941,25,34,upper,multiple,3.667,not formal,color
210,38,4.8,tenured,not minority,male,60,75.0,12,16,upper,single,3.667,not formal,color
211,38,4.6,tenured,not minority,male,60,78.57143,11,14,upper,single,3.667,not formal,color
212,38,4.6,tenured,not minority,male,60,66.66666,8,12,upper,single,3.667,not formal,color
213,38,4.8,tenured,not minority,male,60,61.53846,24,39,upper,single,3.667,not formal,color
214,38,4.4,tenured,not minority,male,60,42.85714,15,35,upper,single,3.667,not formal,color
215,38,4.7,tenured,not minority,male,60,68.88889,31,45,upper,multiple,3.667,not formal,color
216,38,4.7,tenured,not minority,male,60,80.0,36,45,lower,multiple,3.667,not formal,color
217,39,3.3,tenure track,not minority,male,37,88.23529,15,17,upper,single,6.167,not formal,color
218,40,4.4,tenure track,not minority,male,42,92.85714,13,14,upper,multiple,4.0,not formal,color
219,40,4.3,tenure track,not minority,male,42,100.0,14,14,upper,multiple,4.0,not formal,color
220,40,4.9,tenure track,not minority,male,42,92.85714,13,14,upper,multiple,4.0,not formal,color
221,40,4.4,tenure track,not minority,male,42,100.0,12,12,upper,multiple,4.0,not formal,color
222,40,4.7,tenure track,not minority,male,42,86.66666,13,15,upper,multiple,4.0,not formal,color
223,41,4.3,tenured,not minority,male,35,82.35294,42,51,upper,single,4.833,not formal,color
224,41,4.8,tenured,not minority,male,35,91.30434,21,23,lower,multiple,4.833,not formal,color
225,41,4.5,tenured,not minority,male,35,85.96491,49,57,upper,single,4.833,not formal,color
226,41,4.7,tenured,not minority,male,35,88.0,44,50,lower,multiple,4.833,not formal,color
227,42,3.3,teaching,not minority,female,39,91.66666,22,24,lower,single,8.167,not formal,color
228,42,4.7,teaching,not minority,female,39,78.26087,18,23,upper,multiple,8.167,not formal,color
229,42,4.6,teaching,not minority,female,39,86.95652,20,23,upper,multiple,8.167,not formal,color
230,42,3.6,teaching,not minority,female,39,96.42857,27,28,lower,single,8.167,not formal,color
231,43,4.0,tenured,not minority,male,49,62.22222,28,45,upper,single,6.5,formal,color
232,43,4.1,tenured,not minority,male,49,64.28571,27,42,upper,single,6.5,formal,color
233,43,4.0,tenured,not minority,male,49,85.96491,49,57,upper,single,6.5,formal,color
234,44,4.5,tenured,not minority,male,61,81.48148,22,27,lower,single,4.833,formal,color
235,44,4.6,tenured,not minority,male,61,81.57895,31,38,upper,multiple,4.833,formal,color
236,44,4.8,tenured,not minority,male,61,86.36364,19,22,lower,single,4.833,formal,color
237,44,4.6,tenured,not minority,male,61,62.7907,27,43,upper,multiple,4.833,formal,color
238,45,4.9,tenure track,not minority,male,33,96.77419,30,31,upper,single,7.0,formal,color
239,45,3.1,tenure track,not minority,male,33,92.30769,12,13,upper,single,7.0,formal,color
240,45,3.7,tenure track,not minority,male,33,86.66666,13,15,upper,single,7.0,formal,color
241,46,3.7,tenured,not minority,female,58,76.47059,26,34,upper,single,4.667,formal,black&white
242,47,3.9,tenured,not minority,female,56,63.15789,12,19,upper,single,3.833,formal,color
243,47,3.9,tenured,not minority,female,56,80.0,16,20,upper,single,3.833,formal,color
244,47,3.2,tenured,not minority,female,56,73.91304,17,23,upper,single,3.833,formal,color
245,48,4.4,teaching,not minority,female,50,81.48148,22,27,lower,single,3.167,not formal,color
246,48,4.2,teaching,not minority,female,50,75.0,24,32,lower,single,3.167,not formal,color
247,48,4.7,teaching,not minority,female,50,66.66666,14,21,lower,single,3.167,not formal,color
248,48,3.9,teaching,not minority,female,50,95.83334,23,24,upper,multiple,3.167,not formal,color
249,48,3.6,teaching,not minority,female,50,90.47619,19,21,upper,multiple,3.167,not formal,color
250,48,3.4,teaching,not minority,female,50,64.28571,18,28,upper,multiple,3.167,not formal,color
251,48,4.4,teaching,not minority,female,50,79.31035,23,29,upper,multiple,3.167,not formal,color
252,49,4.4,tenured,not minority,male,52,85.07462,57,67,upper,multiple,3.167,not formal,color
253,49,4.1,tenured,not minority,male,52,91.01124,81,89,upper,multiple,3.167,not formal,color
254,49,3.6,tenured,not minority,male,52,90.2439,74,82,upper,multiple,3.167,not formal,color
255,49,3.5,tenured,not minority,male,52,83.60656,102,122,upper,multiple,3.167,not formal,color
256,49,4.1,tenured,not minority,male,52,71.75572,94,131,upper,multiple,3.167,not formal,color
257,49,3.8,tenured,not minority,male,52,78.07018,89,114,upper,multiple,3.167,not formal,color
258,49,4.0,tenured,not minority,male,52,89.26174,133,149,upper,multiple,3.167,not formal,color
259,49,4.8,tenured,not minority,male,52,95.65218,22,23,upper,single,3.167,not formal,color
260,49,4.2,tenured,not minority,male,52,79.59184,78,98,upper,multiple,3.167,not formal,color
261,49,4.6,tenured,not minority,male,52,81.48148,22,27,upper,single,3.167,not formal,color
262,49,4.3,tenured,not minority,male,52,90.0,27,30,upper,single,3.167,not formal,color
263,49,4.8,tenured,not minority,male,52,90.0,27,30,upper,single,3.167,not formal,color
264,49,3.8,tenured,not minority,male,52,86.95652,60,69,upper,multiple,3.167,not formal,color
265,50,4.5,tenure track,not minority,female,33,66.66666,10,15,upper,multiple,5.833,not formal,black&white
266,50,4.9,tenure track,not minority,female,33,100.0,10,10,upper,multiple,5.833,not formal,black&white
267,50,4.9,tenure track,not minority,female,33,90.90909,10,11,upper,multiple,5.833,not formal,black&white
268,50,4.8,tenure track,not minority,female,33,71.42857,10,14,upper,multiple,5.833,not formal,black&white
269,50,4.7,tenure track,not minority,female,33,63.63636,7,11,upper,multiple,5.833,not formal,black&white
270,50,4.6,tenure track,not minority,female,33,100.0,14,14,upper,multiple,5.833,not formal,black&white
271,51,4.3,tenured,not minority,male,57,89.61039,69,77,upper,multiple,5.667,not formal,black&white
272,51,4.4,tenured,not minority,male,57,87.80488,36,41,upper,single,5.667,not formal,black&white
273,51,4.5,tenured,not minority,male,57,81.81818,72,88,upper,multiple,5.667,not formal,black&white
274,51,4.2,tenured,not minority,male,57,80.76923,63,78,upper,multiple,5.667,not formal,black&white
275,52,4.8,tenured,not minority,female,38,70.76923,46,65,upper,single,6.5,formal,black&white
276,52,4.6,tenured,not minority,female,38,69.42675,109,157,lower,multiple,6.5,formal,black&white
277,52,4.9,tenured,not minority,female,38,79.41177,54,68,upper,single,6.5,formal,black&white
278,52,4.8,tenured,not minority,female,38,76.1194,51,67,upper,single,6.5,formal,black&white
279,52,4.8,tenured,not minority,female,38,76.25,61,80,upper,single,6.5,formal,black&white
280,52,4.6,tenured,not minority,female,38,74.45255,102,137,lower,multiple,6.5,formal,black&white
281,52,4.7,tenured,not minority,female,38,84.05797,58,69,upper,multiple,6.5,formal,black&white
282,53,4.1,tenure track,not minority,female,34,59.34066,54,91,lower,multiple,1.667,not formal,color
283,53,3.8,tenure track,not minority,female,34,57.5,46,80,lower,multiple,1.667,not formal,color
284,53,4.0,tenure track,not minority,female,34,58.88889,53,90,lower,multiple,1.667,not formal,color
285,53,4.1,tenure track,not minority,female,34,55.88235,19,34,upper,multiple,1.667,not formal,color
286,53,4.0,tenure track,not minority,female,34,56.16438,41,73,upper,multiple,1.667,not formal,color
287,53,4.1,tenure track,not minority,female,34,56.81818,25,44,upper,multiple,1.667,not formal,color
288,54,3.5,tenure track,not minority,male,34,66.66666,24,36,upper,multiple,6.667,not formal,color
289,54,4.1,tenure track,not minority,male,34,80.0,16,20,upper,single,6.667,not formal,color
290,54,3.6,tenure track,not minority,male,34,57.14286,20,35,lower,multiple,6.667,not formal,color
291,55,4.0,tenure track,not minority,male,32,34.27419,85,248,lower,multiple,3.667,formal,black&white
292,55,3.9,tenure track,not minority,male,32,41.07143,69,168,lower,multiple,3.667,formal,black&white
293,55,3.8,tenure track,not minority,male,32,39.67611,98,247,lower,multiple,3.667,formal,black&white
294,56,4.4,tenure track,not minority,male,32,90.90909,20,22,upper,single,3.833,formal,black&white
295,56,4.7,tenure track,not minority,male,32,69.90292,72,103,upper,multiple,3.833,formal,black&white
296,57,3.8,tenured,not minority,female,42,70.96774,44,62,lower,multiple,6.167,not formal,color
297,57,4.1,tenured,not minority,female,42,62.19512,51,82,upper,multiple,6.167,not formal,color
298,58,4.1,tenured,not minority,female,43,68.62745,35,51,lower,multiple,3.333,not formal,color
299,58,4.7,tenured,not minority,female,43,51.42857,18,35,upper,multiple,3.333,not formal,color
300,58,4.3,tenured,not minority,female,43,76.47059,26,34,lower,multiple,3.333,not formal,color
301,58,4.4,tenured,not minority,female,43,75.67567,28,37,lower,multiple,3.333,not formal,color
302,58,4.5,tenured,not minority,female,43,92.85714,13,14,lower,multiple,3.333,not formal,color
303,58,3.1,tenured,not minority,female,43,65.41354,174,266,lower,multiple,3.333,not formal,color
304,58,3.7,tenured,not minority,female,43,67.32284,171,254,lower,multiple,3.333,not formal,color
305,58,4.5,tenured,not minority,female,43,76.92308,10,13,upper,multiple,3.333,not formal,color
306,58,3.0,tenured,not minority,female,43,58.86525,166,282,lower,multiple,3.333,not formal,color
307,58,4.6,tenured,not minority,female,43,100.0,17,17,upper,multiple,3.333,not formal,color
